,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
181,0,メモリ,名詞,一般,*,*,メモリ,38
182,0,階層,名詞,一般,*,*,階層,38
183,0,キャッシュ,名詞,一般,*,*,キャッシュ,38
184,0,I/O,名詞,固有名詞,一般,*,I/O,41
185,0,ハードディスク,名詞,一般,*,*,ハードディスク,38
186,0,フラッシュメモリ,名詞,固有名詞,一般,*,フラッシュメモリ,41
187,0,性能,名詞,一般,*,*,性能,38
188,0,並列,名詞,サ変接続,*,*,並列,36
189,0,性,名詞,接尾,一般,*,性,51
190,0,計算機,名詞,固有名詞,一般,*,計算機,41
191,0,アーキテクチャ,名詞,一般,*,*,アーキテクチャ,38
192,0,機械語,名詞,固有名詞,一般,*,機械語,41
193,0,アドレッシング,名詞,サ変接続,*,*,アドレッシング,36
194,0,フォン・ノイマン,名詞,固有名詞,一般,*,フォン・ノイマン,41
195,0,マシン,名詞,一般,*,*,マシン,38
196,0,デジタル回路,名詞,固有名詞,一般,*,デジタル回路,41
197,0,演算,名詞,サ変接続,*,*,演算,36
198,0,回路,名詞,一般,*,*,回路,38
199,0,加算器,名詞,固有名詞,一般,*,加算器,41
200,0,二進法,名詞,一般,*,*,二進法,38
202,0,数,名詞,一般,*,*,数,38
204,0,表現,名詞,サ変接続,*,*,表現,36
206,0,組合わ,動詞,自立,*,*,組合う,31
208,0,回路,名詞,一般,*,*,回路,38
209,0,真理値表,名詞,固有名詞,一般,*,真理値表,41
210,0,状態,名詞,一般,*,*,状態,38
211,0,回路,名詞,一般,*,*,回路,38
213,0,実行,名詞,サ変接続,*,*,実行,36
214,0,マルチ,名詞,一般,*,*,マルチ,38
215,0,サイクル,名詞,一般,*,*,サイクル,38
216,0,実行,名詞,サ変接続,*,*,実行,36
217,0,状態,名詞,一般,*,*,状態,38
218,0,遷移,名詞,サ変接続,*,*,遷移,36
219,0,機械,名詞,一般,*,*,機械,38
222,0,記憶,名詞,サ変接続,*,*,記憶,36
223,0,措置,名詞,サ変接続,*,*,措置,36
225,0,メモリ,名詞,一般,*,*,メモリ,38
226,0,DRAM,名詞,固有名詞,一般,*,DRAM,41
227,0,メモリ,名詞,一般,*,*,メモリ,38
228,0,階層,名詞,一般,*,*,階層,38
229,0,キャッシュ,名詞,一般,*,*,キャッシュ,38
230,0,ページング,名詞,一般,*,*,ページング,38
231,0,MMU,名詞,固有名詞,一般,*,MMU,41
232,0,I/O,名詞,固有名詞,一般,*,I/O,41
233,0,データバス,名詞,一般,*,*,データバス,38
234,0,PCI,名詞,固有名詞,一般,*,PCI,41
235,0,ハードディスク,名詞,一般,*,*,ハードディスク,38
236,0,フラッシュメモリ,名詞,固有名詞,一般,*,フラッシュメモリ,41
237,0,性能,名詞,一般,*,*,性能,38
238,0,アムダールの法則,名詞,固有名詞,一般,*,アムダールの法則,41
